,lr,max_depth,gamma,lambda,alpha,subsample_f,colsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time,ACC_train,ACC_val,Loss_train,Loss_val
0,0.01,1,0.0,0.0,0.0,0.25,0.25,0.45775,1.3700723785866404,0.8682286473911599,0.558124009012768,0.30180330606111205,0.10665998998497747,0.23215027844734437,0.6783986655546289,10000.0,0:02:24.859910,14798603.461500404,0.49266666666666664,0.49266666666666664,1.2923706505423558,1.3047947443489296
1,0.01,1,0.0,0.0,0.0,0.25,0.5,0.4592361111111111,1.3645966387793909,0.8649995846141065,0.5548597194388778,0.3020245602389645,0.11051618840458462,0.23440374644589396,0.6856287425149701,10000.0,0:02:24.468658,14798748.000331871,0.4950333333333333,0.4950333333333333,1.2868378754162622,1.300481132422962
2,0.01,1,0.0,0.0,0.0,0.25,0.75,0.46145833333333336,1.3604227704558376,0.8671571463999339,0.5588407739341653,0.3030964168834438,0.11253644314868805,0.2352843503528435,0.6890055847295157,10000.0,0:02:25.117977,14798893.188080404,0.49606666666666666,0.49606666666666666,1.2845004540873857,1.298741617578625
3,0.01,1,0.0,0.0,0.0,0.25,1.0,0.46,1.3621229541775748,0.865506329113924,0.5586885792942354,0.3067602573744464,0.11305506956594184,0.232733604178758,0.6843995323200267,10000.0,0:02:20.217028,14799033.475482732,0.49611666666666665,0.49611666666666665,1.2829662678412739,1.2977503324755624
4,0.01,1,0.0,0.0,0.0,0.5,0.25,0.45229166666666665,1.3793002170242563,0.8669946631087392,0.5451485315156105,0.3026877668927405,0.10426148117501034,0.22718237535199604,0.671379855277385,10000.0,0:02:24.649379,14799178.194665506,0.48878333333333335,0.48878333333333335,1.3010874243144848,1.3132217066378022
5,0.01,1,0.0,0.0,0.0,0.5,0.5,0.45534722222222224,1.3759769489431928,0.8629353233830845,0.5518165076176126,0.30698606126366745,0.10612892451569807,0.22761596548004315,0.6752878358084432,10000.0,0:02:24.886140,14799323.151849423,0.49091666666666667,0.49091666666666667,1.2970686321909441,1.3103233496627718
6,0.01,1,0.0,0.0,0.0,0.5,0.75,0.4548333333333333,1.375082876721606,0.863291982349513,0.5518044237485448,0.3063894013080664,0.11035737921906022,0.22531223980016654,0.6741770667560097,10000.0,0:02:24.986702,14799468.207786487,0.49166666666666664,0.49166666666666664,1.2953410228712408,1.3091529451376862
7,0.01,1,0.0,0.0,0.0,0.5,1.0,0.45529166666666665,1.373238978108092,0.8651629072681705,0.5523833375073044,0.3015846677175807,0.10939446797906803,0.22794117647058823,0.6778417146192978,10000.0,0:02:20.414771,14799608.692388726,0.4919,0.4919,1.2943286362147948,1.308411733442038
8,0.01,1,0.0,0.0,0.0,0.75,0.25,0.45080555555555557,1.3825352654763627,0.8656827792057044,0.5420623021822422,0.3019134775374376,0.09964859437751004,0.22386316228619108,0.668503674014696,10000.0,0:02:24.080050,14799752.84316761,0.48591666666666666,0.48591666666666666,1.3069136688381588,1.3190270661934693
9,0.01,1,0.0,0.0,0.0,0.75,0.5,0.4512083333333333,1.3817438336617562,0.8668717778147348,0.5448530027640506,0.3015912688494543,0.10251098035965857,0.22422680412371135,0.6704364580715423,10000.0,0:02:23.991950,14799896.904307207,0.48751666666666665,0.48751666666666665,1.3041861458848367,1.317043769750537
10,0.01,1,0.0,0.0,0.0,0.75,0.75,0.45163888888888887,1.3810820754324793,0.8657472792223976,0.5442647549183061,0.2967483072807824,0.1034195856560446,0.22557077625570776,0.6748743718592964,10000.0,0:02:24.717385,14800041.691840364,0.48773333333333335,0.48773333333333335,1.3030512461540027,1.3163133586967468
11,0.01,1,0.0,0.0,0.0,0.75,1.0,0.45295833333333335,1.3810719301867793,0.8660171538013157,0.5442625688992818,0.3047976637463496,0.1021021021021021,0.22696984840912876,0.6723708257185579,10000.0,0:02:20.869592,14800182.62879382,0.48828333333333335,0.48828333333333335,1.302390277826898,1.3159008470394442
